Lambda  FCFS-FirstFit   FCFS-OverProvisioning   FCFS-MinFrag    EDF-FirstFit    EDF-OverProvisioning    EDF-MinFrag     GroupedEDF-FirstFit     GropuedEDF-OverProvisioning     GroupedEDF-MinFrag      EDFw/BF-FirstFit        EDFw/BF-OverProvisioning    EDFw/BF-MinFrag GroupedEDFw/BF-FirstFit GroupedEDFw/BF-OverProvisioning GropuedEDFw/BF-MinFrag
0.5     0.1986  0.1974  0.1796  0.1986  0.1974  0.1796  0.1986  0.1974  0.1796  0.1707  0.1566  0.1379  0.1986  0.197   0.1905
0.6	0.1991  0.1979  0.002844        0.1991  0.1979  0.00772 0.1991  0.1979  0.00772 0.1723  0.1792  0.1256  0.1991  0.1979  0.18
0.7     0.1954  0.195   0.001625        0.1938  0.1922  0.001625        0.1938  0.1922  0.001625        0.154   0.154   0.002438        0.1954  0.1954  0.006095
0.8     0.1963  0.1942  0.002032        0.1954  0.1959  0.002032        0.1954  0.1959  0.002032        0.1512  0.1589  0.002032        0.1967  0.1971  0.002032
0.9     0.01585 0.01788 0.001219        0.1097  0.02275 0.001219        0.1117  0.02235 0.001219        0.09833 0.139   0.001219        0.1621  0.1686  0.001219
1.0     0.01422 0.006501        0.002032        0.01178 0.006501        0.002032        0.01178 0.006501        0.002032        0.0382  0.04307 0.002032        0.07436 0.08614 0.002032
1.1     0.00447 0.003251        0.0008127       0.003657        0.003251        0.0008127       0.003657        0.003251        0.0008127       0.01056 0.008533        0.0008127       0.02601 0.0191  0.0008127
1.2     0.004068        0.005696        0.0004068       0.004068        0.005289        0.0004068       0.004068        0.005289        0.0004068       0.002848        0.004882        0.0004068       0.007323        0.006103        0.0004068
1.3     0.005705        0.00326 0.001222        0.006112        0.00326 0.001222        0.006112        0.00326 0.001222        0.00326 0.002037        0.001222        0.004482        0.002445        0.001222
1.4     0.00326 0.002445        0.00163 0.00326 0.002445        0.00163 0.00326 0.002445        0.00163 0.003667        0.002037        0.00163 0.006112        0.00326 0.00163
1.5     0.003265        0.003265        0.001224        0.003265        0.003265        0.001224        0.003265        0.003265        0.001224        0.003265        0.002857        0.001224        0.003265        0.002857        0.001224
1.6     0.003272        0.005317        0.001636        0.003272        0.005317        0.001636        0.003272        0.005317        0.001636        0.003272        0.004499        0.001636        0.003681        0.004499        0.001636
1.7     0.003281        0.002461        0.001231        0.003281        0.002461        0.001231        0.003281        0.002461        0.001231        0.004922        0.002461        0.001231        0.004512        0.003281        0.001231
1.8     0.002871        0.002051        0.001641        0.002871        0.002051        0.001641        0.002871        0.002051        0.001641        0.002871        0.0008203       0.001641        0.003281        0.0008203       0.001641
1.9     0.002871        0.001231        0.001641        0.002871        0.001231        0.001641        0.002871        0.001231        0.001641        0.002871        0.001231        0.001641        0.002871        0.001231        0.001641
2.0     0       0       0.0008628       0       0       0.0008628       0       0       0.0008628       0       0       0.0008628       0       0       0.0008628
2.1     0       0.000434        0.000434        0       0.000434        0.000434        0       0.000434        0.000434        0.000434        0.0008681       0.000434        0.000434        0.0008681       0.000434
2.2     0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681
2.3     0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681       0.001302        0.0008681       0.0008681
2.4     0.001302        0.001736        0.001302        0.001302        0.001736        0.001302        0.001302        0.001736        0.001302        0.001302        0.001302        0.001302        0.001302        0.001302        0.001302
2.5     0.001736        0.001736        0.0008681       0.001736        0.001736        0.0008681       0.001736        0.001736        0.0008681       0.001736        0.001736        0.0008681       0.001736        0.001736        0.0008681
2.6     0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425        0.001425
2.7     0.001899        0.001899        0.001425        0.001899        0.001899        0.001425        0.001899        0.001899        0.001425        0.001899        0.001899        0.001425        0.001899        0.001899        0.001425
2.8     0.001425        0.001425        0.0009497       0.001425        0.001425        0.0009497       0.001425        0.001425        0.0009497       0.001425        0.001425        0.0009497       0.001425        0.001425        0.0009497
2.9     0.001899        0.001425        0.0009497       0.001899        0.001425        0.0009497       0.001899        0.001425        0.0009497       0.001899        0.001425        0.0009497       0.001899        0.001425        0.0009497
3.0     0.002374        0.001899        0.001425        0.002374        0.001899        0.001425        0.002374        0.001899        0.001425        0.002374        0.001899        0.001425        0.002374        0.001899        0.001425

